,emotion,gender,intensity,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,rms0,chroma_stft0,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,spec_cent0,spec_rolloff0,zcr0
0,01,01,01,-710.7977905273438,53.439884185791016,-15.19039535522461,8.793198585510254,-0.5541645288467407,-10.41655445098877,-11.918134689331055,-10.522209167480469,-6.4946980476379395,0.5187958478927612,-8.738664627075195,-2.2041053771972656,-5.876750469207764,-3.9162096977233887,-5.274550437927246,-3.837144374847412,-3.003580093383789,-3.944509267807007,-5.3006391525268555,-4.574411869049072,0.0021669757552444935,0.4903676509857178,0.3596591353416443,0.4116836488246918,0.4536956250667572,0.41608530282974243,0.45809343457221985,0.4276820719242096,0.4224792718887329,0.4262644946575165,0.46199092268943787,0.5335454344749451,0.5147552490234375,3292.791390711846,6144.83912935193,0.33194604656040266
1,01,01,01,-676.566650390625,52.8790168762207,4.699556350708008,6.543307781219482,4.021244049072266,-2.1985788345336914,-2.779083728790283,-10.583989143371582,-4.598905086517334,-0.07775533944368362,-8.157341003417969,-2.2910656929016113,-7.150640964508057,-2.611762046813965,-0.9466848969459534,-9.005078315734863,-5.436606407165527,-2.2013988494873047,-7.016598224639893,-4.20788049697876,0.0030386594589799643,0.4339557886123657,0.42080265283584595,0.3920445144176483,0.45471906661987305,0.5411875247955322,0.6012143492698669,0.5687118172645569,0.488711953163147,0.5186398029327393,0.48195692896842957,0.45335179567337036,0.44400447607040405,3291.333894801519,6386.78919312301,0.28288278761942676
2,03,01,01,-574.169189453125,42.0488395690918,-50.63857650756836,7.814414978027344,-3.251385450363159,-23.8902530670166,-15.88504695892334,-16.21084976196289,-11.031570434570312,5.90071964263916,-17.43636703491211,-2.9095466136932373,-5.733043670654297,-9.023292541503906,-3.2299957275390625,-9.130769729614258,-7.111090183258057,-0.8885183334350586,-3.120326042175293,-4.910989761352539,0.005466813687235117,0.4143434166908264,0.3291005790233612,0.2928796112537384,0.34273019433021545,0.335635244846344,0.34112563729286194,0.40447866916656494,0.3924723267555237,0.4195103645324707,0.4513203501701355,0.4796346127986908,0.4488637447357178,3145.441995502617,5718.169696514423,0.24798740484775642
3,03,01,01,-600.397705078125,60.84087371826172,-14.167917251586914,8.25946044921875,2.347057580947876,-7.5158305168151855,-1.7252888679504395,-9.835860252380371,-8.0394926071167,1.4896494150161743,-4.999806880950928,2.0847532749176025,-7.822709083557129,-2.7627761363983154,0.4910939037799835,-5.7513628005981445,-5.363528251647949,0.21526473760604858,-4.589694499969482,-0.8193105459213257,0.006496799644082785,0.4187769889831543,0.3949126899242401,0.4318279027938843,0.5445941686630249,0.5558308362960815,0.4943625330924988,0.503282904624939,0.43027999997138977,0.3672126531600952,0.353647917509079,0.41074642539024353,0.42717212438583374,2866.8897153798343,5730.440090013587,0.25131017080745344
4,04,01,01,-668.93359375,55.74315643310547,-10.204071044921875,9.223740577697754,-5.716845512390137,-2.9163496494293213,-5.042352199554443,-8.866898536682129,-6.852397441864014,-1.2660598754882812,-5.563672065734863,-3.4099414348602295,-5.79849100112915,0.6490647792816162,-6.239034652709961,-3.230912208557129,-4.998880386352539,-2.1604838371276855,-5.506312370300293,-2.222621440887451,0.0031491003464907408,0.3282744586467743,0.29294493794441223,0.26791462302207947,0.3504856824874878,0.30866166949272156,0.30837851762771606,0.28893208503723145,0.317585825920105,0.39976295828819275,0.46537476778030396,0.43240436911582947,0.3930104672908783,2198.0715175478977,4113.172060726611,0.23691526073619631
5,04,01,01,-667.5301513671875,59.89376449584961,2.7802014350891113,10.98576831817627,-3.5093061923980713,-8.975205421447754,-13.539531707763672,-9.39169979095459,-5.081935405731201,-2.335693120956421,-9.946004867553711,-3.808511257171631,-0.10566692054271698,-5.8523759841918945,-2.714172124862671,-4.622518539428711,-6.641923427581787,-2.2329795360565186,-6.109079837799072,-2.327378511428833,0.0028607374988496304,0.4001089930534363,0.38599908351898193,0.3534252345561981,0.41852059960365295,0.42611727118492126,0.4316084682941437,0.41214051842689514,0.39887553453445435,0.3142028748989105,0.30203312635421753,0.3795102834701538,0.40906524658203125,2481.399224053476,4817.402716958599,0.2820212977707006
6,04,01,02,-595.6679077148438,52.40669250488281,-8.83425235748291,8.34498119354248,-0.8858399987220764,-13.366917610168457,-23.427343368530273,-11.561067581176758,-4.377768039703369,-1.4361107349395752,-13.902626037597656,-5.3207926750183105,1.8024176359176636,-5.735296249389648,-4.973164081573486,-5.780616760253906,-6.452706336975098,-4.646318435668945,-5.902898788452148,-3.7083282470703125,0.006022969260811806,0.6837774515151978,0.5031577348709106,0.4296107888221741,0.3656046986579895,0.30612391233444214,0.30606797337532043,0.30786481499671936,0.3589569330215454,0.3623785078525543,0.42524734139442444,0.49903756380081177,0.6778079271316528,3169.680608625775,5616.287364130435,0.33804226513975155
7,04,01,02,-660.6726684570312,44.71360778808594,-7.237301826477051,5.4489970207214355,-5.675724506378174,-6.84298849105835,-12.824044227600098,-13.454952239990234,-9.207121849060059,-2.4228756427764893,-10.14380168914795,-3.5646159648895264,-8.813178062438965,-0.3643859624862671,-5.551173686981201,-6.981384754180908,-2.6469218730926514,-2.4883923530578613,-6.8116679191589355,-1.3865647315979004,0.003122632624581456,0.4503953456878662,0.48976561427116394,0.41920509934425354,0.39073213934898376,0.3425806164741516,0.3422160744667053,0.32441267371177673,0.33487072587013245,0.3804999887943268,0.3683735728263855,0.36842575669288635,0.37841126322746277,2590.5422656251353,4704.395452535377,0.25043607507861637
8,03,01,02,-465.7654113769531,30.39885711669922,-30.565237045288086,-6.461939811706543,-5.316004753112793,-18.331571578979492,-8.546971321105957,-11.687444686889648,-13.010186195373535,0.8642287254333496,-10.905791282653809,-1.1123343706130981,-6.1216607093811035,0.027240486815571785,5.7736687660217285,4.293003559112549,6.775825500488281,9.846148490905762,0.11919119209051132,2.7491300106048584,0.02613547444343567,0.43772780895233154,0.36416375637054443,0.3768213987350464,0.41752925515174866,0.35848167538642883,0.3755851089954376,0.38054731488227844,0.4092440903186798,0.40214240550994873,0.49301865696907043,0.5940552353858948,0.48128655552864075,3141.5887673631123,5894.2135833030525,0.23117846111918605
9,03,01,02,-442.1458740234375,21.132293701171875,-47.54964065551758,-3.6176741123199463,-4.674583911895752,-25.152606964111328,-19.293363571166992,-11.86483097076416,-11.12048625946045,4.091404914855957,-11.637288093566895,5.062301158905029,13.49813461303711,15.965737342834473,9.212104797363281,-3.8638062477111816,-4.386152744293213,-0.8964990377426147,-3.6197893619537354,-0.7282069325447083,0.029418792575597763,0.4265146851539612,0.3904520571231842,0.38625606894493103,0.33262836933135986,0.2706003189086914,0.29175230860710144,0.3037478029727936,0.3441132605075836,0.3887900710105896,0.42882177233695984,0.4961225092411041,0.4455496072769165,2843.732385330776,5271.838848407452,0.1735401642628205
