label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
01,-697.9842,55.22849,0.323863,12.775377,7.396148,0.8662239,-3.5502758,-2.8283315,-11.305533,-2.5249267,0.49610442,-2.7229264,1.6458004,-3.4319637,0.14035653,1.0731596,-4.355672,-1.5837712,-1.5930085,-0.6593612
01,-693.0697,55.734566,-1.9197392,16.408995,8.449355,0.22073586,-1.7383419,-4.9312906,-11.98182,-0.9937804,0.4941067,-2.2968976,0.67870015,-2.9393213,-0.4507682,0.7342287,-4.824006,-0.6773813,-2.233056,0.8270093
01,-691.7705,58.350018,-0.16634618,13.950068,5.0501623,1.4849185,-2.4031143,-5.0659456,-10.645894,-3.3528194,0.2555384,-2.5381246,1.539981,-3.1401765,-2.29184,1.1740876,-5.2260756,-2.8303602,-0.17029123,0.32976022
01,-685.28467,56.20054,2.4622376,13.57275,6.669916,3.2993255,-1.9018644,-6.6484714,-10.658185,-2.9644303,0.8743687,-1.2011968,0.259234,-2.4659102,-1.4500062,2.1235187,-4.6466136,-1.7574041,-0.35689,-0.3640987
03,-646.13165,63.43414,-4.706915,12.905929,3.9244545,-2.5872898,-5.9847155,-6.3134627,-11.839384,-2.0770895,-1.5902197,-6.5081515,0.89335144,-4.3884816,-2.6921241,2.438276,-8.272143,-2.603855,-2.6996934,-2.3282275
03,-631.5844,63.317528,-6.138143,15.77876,6.2089014,-1.2730112,-6.9112425,-4.495748,-13.984762,-1.0607735,-0.16617268,-6.072036,3.115436,-3.6562402,-2.4642122,3.5167618,-8.10562,-2.5072718,0.043185856,-1.4598924
03,-656.4136,62.5349,-2.6719947,13.244526,1.4966153,0.15481089,-5.993006,-6.966433,-14.0940695,-2.9991212,2.053018,-6.6974716,1.6321368,-3.860585,-0.9416111,1.8644028,-7.036062,-1.7264775,-1.2235628,-3.0525432
03,-652.9413,57.430077,0.010460377,18.696972,2.22476,0.822739,-2.930402,-5.88654,-13.828531,-3.2289758,0.23192863,-4.210583,2.2034686,-3.8502247,-1.1381657,1.5408062,-7.627944,-1.9434881,-1.5679185,-2.2446237
03,-596.79126,49.548428,-6.384744,6.0062265,-1.668014,-0.8125201,-12.428631,-8.426094,-11.485936,-8.588349,-1.0570061,-6.682466,-2.2655487,-3.4416301,-7.1033883,-0.4758326,-7.7613826,-2.6403732,-3.1710978,-4.5977507
03,-560.09265,55.18311,-11.826187,5.802594,2.1097965,-1.559523,-11.414464,-7.296623,-14.805033,-7.14044,2.9741206,-7.6017413,-1.9297847,-1.6829464,-6.232723,1.0442029,-7.5998793,-5.628976,-2.7525887,-4.3890247
