file,emotion,emotion_label,dataset,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
03-01-01-01-02-02-06.wav,01,neutral,ravdess,-710.7978,53.439884,-15.190397,8.793198,-0.5541647,-10.416554,-11.918135,-10.52221,-6.4946976,0.51879597,-8.738665,-2.2041054,-5.8767505,-3.9162097,-5.274551,-3.8371444,-3.00358,-3.9445095,-5.300639,-4.574412
03-01-01-01-02-02-12.wav,01,neutral,ravdess,-676.56665,52.879017,4.6995564,6.543307,4.0212436,-2.1985793,-2.7790833,-10.583989,-4.5989056,-0.07775548,-8.157342,-2.2910655,-7.150641,-2.611762,-0.946685,-9.005078,-5.4366064,-2.2013988,-7.016598,-4.2078805
03-01-03-01-01-02-06.wav,03,happy,ravdess,-574.1692,42.048836,-50.638577,7.814414,-3.2513835,-23.890253,-15.885047,-16.21085,-11.031569,5.900719,-17.436363,-2.9095464,-5.7330427,-9.023292,-3.2299953,-9.130769,-7.11109,-0.8885175,-3.1203256,-4.9109898
03-01-03-01-01-02-12.wav,03,happy,ravdess,-600.3977,60.840874,-14.167917,8.25946,2.3470576,-7.515831,-1.7252887,-9.83586,-8.039493,1.4896494,-4.999807,2.0847528,-7.822709,-2.7627761,0.49109378,-5.751363,-5.3635283,0.21526462,-4.589694,-0.81931055
03-01-04-01-01-02-02.wav,04,sad,ravdess,-668.9336,55.743156,-10.204071,9.223741,-5.7168455,-2.9163496,-5.042352,-8.866899,-6.8523974,-1.26606,-5.563672,-3.4099414,-5.798491,0.6490646,-6.239035,-3.2309122,-4.9988804,-2.1604838,-5.5063124,-2.2226214
03-01-04-01-01-02-16.wav,04,sad,ravdess,-667.53015,59.893764,2.7802017,10.985769,-3.5093062,-8.975204,-13.539532,-9.3917,-5.081935,-2.335693,-9.946005,-3.8085113,-0.10566665,-5.852376,-2.714172,-4.6225185,-6.6419234,-2.2329798,-6.10908,-2.3273783
03-01-04-02-02-02-16.wav,04,sad,ravdess,-595.6679,52.406693,-8.834252,8.344981,-0.88584036,-13.366918,-23.427343,-11.561068,-4.377768,-1.4361104,-13.902626,-5.3207927,1.8024179,-5.7352962,-4.973164,-5.7806168,-6.452706,-4.646319,-5.902898,-3.7083282
03-01-04-02-02-02-02.wav,04,sad,ravdess,-660.67267,44.713608,-7.2373023,5.448997,-5.6757245,-6.8429885,-12.824044,-13.454952,-9.207122,-2.4228756,-10.143802,-3.5646155,-8.813178,-0.36438584,-5.551174,-6.9813848,-2.6469219,-2.4883924,-6.811668,-1.3865649
03-01-03-02-02-02-12.wav,03,happy,ravdess,-465.7654,30.398857,-30.565237,-6.4619403,-5.3160048,-18.331572,-8.54697,-11.687445,-13.010186,0.8642288,-10.905791,-1.1123346,-6.12166,0.027240133,5.773669,4.2930036,6.7758255,9.846148,0.11919137,2.74913
03-01-03-02-02-02-06.wav,03,happy,ravdess,-442.14587,21.132294,-47.54964,-3.617675,-4.6745844,-25.152605,-19.293364,-11.864831,-11.120485,4.0914044,-11.637288,5.062301,13.498133,15.965737,9.212105,-3.8638067,-4.3861527,-0.89649904,-3.619789,-0.72820675
03-01-04-01-02-02-22.wav,04,sad,ravdess,-620.7303,45.719074,-5.869957,-1.9217167,-1.021262,-2.4775596,-10.458798,-16.815449,-12.82632,2.012518,-4.6362524,-10.092591,0.03130579,-2.3801594,-3.232943,-6.628372,-2.994683,-1.5545835,-5.10237,-4.8146486
03-01-04-02-01-02-22.wav,04,sad,ravdess,-606.83826,41.041748,-11.410009,4.131661,1.0256034,-9.173174,-13.33662,-11.059792,-13.268935,-2.6319313,-5.7790284,-6.511821,-0.33745098,-4.706662,0.5783571,-4.1896296,-6.4550815,-1.4656343,-5.2888393,-2.8986254
03-01-04-02-01-02-23.wav,04,sad,ravdess,-612.06024,51.41125,-10.092548,6.224768,7.345439,0.4649532,-5.094741,-9.0589905,-7.1392074,-3.305141,-3.322493,-5.1198783,-2.32774,1.4632491,-4.582567,-0.40411955,-5.21579,-2.2841876,-2.233065,-0.22377372
03-01-04-01-02-02-23.wav,04,sad,ravdess,-648.7473,50.08679,-0.40753058,11.913305,7.3372955,2.0579274,-0.84757113,-5.28815,-5.592005,-4.9235363,-0.8217494,-3.411243,-3.7693784,1.4275267,-4.104714,1.3210526,-4.267493,-2.2659397,-1.8313596,-1.3983582
03-01-03-02-02-02-07.wav,03,happy,ravdess,-452.12085,49.08792,-11.949911,6.3267717,8.339475,-9.8520775,-17.244835,-3.1299114,-8.272102,0.5010146,-4.6251497,-2.828824,2.439558,-3.4574807,-0.5479548,1.4098347,-10.356541,1.6542989,-3.6264355,-1.7939972
03-01-03-02-02-02-13.wav,03,happy,ravdess,-548.0676,40.874435,-7.6582327,0.92900807,-7.0461664,1.2877157,-14.357158,-6.4268193,-8.707417,-4.454822,-1.0427992,-6.2768946,-2.5601244,-2.3221345,-7.629409,0.7849564,-8.441413,-1.18988,-0.23100069,-4.442963
03-01-04-02-02-02-03.wav,04,sad,ravdess,-471.8605,56.930565,-6.866834,8.439901,3.4934406,1.2024559,-11.127562,-9.65244,-12.473186,-11.033508,-2.9163744,-6.2571573,-6.2443776,-1.3116418,-5.0252366,1.6315693,-3.8820965,-2.911223,0.15142885,-1.3253542
